sez,LST_2025,densita_viaria_km_kmq
1,42.24,0.0
4,42.49,7.569
5,42.01,72.073
6,42.45,24.104
7,42.66,37.112
8,42.88,1.688
9,43.02,0.506
10,42.91,99.636
11,42.89,30.606
12,42.78,73.852
13,42.77,29.057
14,42.79,32.289
15,42.81,77.051
16,42.79,107.022
17,43.07,70.467
18,42.83,34.627
19,42.99,67.742
20,42.75,37.175
21,43.13,56.131
22,43.04,40.005
23,42.26,57.408
24,42.33,51.555
25,42.65,57.893
26,42.76,15.808
27,42.7,42.545
28,42.99,40.41
29,42.53,46.333
30,42.16,53.01
31,42.09,54.495
32,42.23,65.655
33,42.42,54.959
34,42.93,30.967
35,43.04,0.0
36,42.55,11.989
37,42.13,21.565
38,42.32,20.968
39,41.98,32.256
40,41.73,50.167
41,41.96,63.125
42,41.95,3.252
43,42.06,13.327
44,42.37,60.215
45,42.82,25.985
46,42.94,113.173
47,43.07,19.057
48,42.52,44.102
49,42.82,34.005
50,42.79,3.166
51,43.24,13.656
52,43.42,0.0
53,42.86,14.37
54,42.99,17.915
55,43.04,9.924
56,43.05,9.957
57,42.65,34.282
58,42.47,20.62
59,42.2,37.579
60,41.77,10.84
61,42.31,82.296
62,42.46,37.603
63,43.02,14.883
64,42.7,6.915
65,42.87,76.03
66,42.85,34.307
67,42.8,7.359
68,42.93,2.133
69,42.4,4.813
70,41.77,0.0
71,41.15,54.375
72,42.1,14.879
73,42.75,4.677
74,42.57,43.173
75,42.9,24.579
76,42.99,77.415
77,42.85,42.839
78,42.62,21.133
79,43.13,68.529
80,43.14,3.279
81,42.71,28.956
82,43.16,16.268
83,43.32,0.0
84,42.93,29.225
85,42.51,61.914
86,42.39,8.699
87,42.63,30.899
88,42.7,27.131
89,41.87,11.438
90,40.95,14.41
91,41.86,18.054
92,43.45,2.108
93,43.43,32.107
94,43.11,44.725
95,42.82,0.0
96,42.52,17.472
97,42.57,95.361
98,42.27,6.971
99,41.99,54.853
100,41.75,0.0
101,42.81,7.778
102,39.85,15.963
103,40.69,11.664
104,41.32,33.045
105,40.93,0.0
106,41.58,6.447
107,40.34,29.282
108,39.98,38.659
109,40.39,67.206
110,41.14,14.78
111,41.76,46.386
112,42.06,20.376
113,41.95,49.885
114,42.16,50.871
115,42.12,64.365
116,42.37,59.882
117,42.14,35.822
118,42.63,60.91
120,42.49,101.782
121,42.16,13.549
122,42.22,104.126
123,42.29,35.232
124,42.29,56.316
125,42.11,70.569
126,42.1,40.979
127,41.15,21.302
128,41.63,24.361
129,42.26,21.045
130,42.31,0.0
131,42.26,5.998
132,41.73,11.721
133,39.83,0.419
134,43.15,24.218
135,42.74,33.017
136,42.33,26.308
137,42.88,25.672
138,42.62,27.414
139,42.43,38.213
140,42.46,36.05
141,42.26,2.728
142,42.62,14.595
143,42.48,23.322
144,42.53,36.982
145,42.16,42.846
146,42.14,25.781
147,42.24,26.504
148,42.19,21.869
149,42.69,33.59
150,42.51,40.028
151,42.25,56.553
152,42.44,58.098
153,42.02,15.588
154,41.88,0.0
155,42.01,0.0
156,41.92,40.289
157,41.54,74.253
158,41.65,55.733
159,41.8,39.198
160,41.74,27.378
161,41.7,3.9
162,41.74,0.0
163,41.6,3.62
164,42.04,45.646
165,41.93,54.914
166,41.84,63.509
167,41.76,39.008
168,41.7,32.346
169,41.55,54.376
170,,70.894
171,41.56,19.34
172,41.77,0.0
173,41.48,0.0
174,42.04,1.296
175,41.64,0.869
176,42.25,32.602
177,42.7,68.542
178,42.56,93.786
179,42.82,9.496
180,42.45,16.904
181,42.79,5.151
182,42.68,33.365
183,42.08,24.262
184,42.5,89.546
185,42.55,48.433
186,42.59,67.725
187,42.61,22.809
188,42.67,92.828
189,42.62,53.297
190,42.63,80.962
191,42.38,5.498
192,42.53,20.709
193,42.75,62.97
194,42.59,66.712
195,42.62,35.081
196,,64.86
197,42.6,95.478
198,42.76,34.377
199,42.69,17.404
200,42.63,50.226
201,42.59,44.484
202,42.73,3.934
203,42.54,26.106
204,42.4,31.824
205,42.0,31.45
206,42.56,114.99
207,42.76,57.938
208,42.59,63.727
209,42.22,57.809
210,41.99,21.053
211,42.51,118.917
212,42.6,41.362
213,42.3,82.242
214,42.21,19.081
215,42.4,20.727
216,42.39,38.513
217,42.6,13.867
218,42.68,22.476
219,42.59,37.288
220,42.66,30.726
221,42.58,35.166
222,42.39,29.426
223,42.4,39.452
224,42.7,18.084
225,42.72,30.371
226,42.87,46.393
227,42.84,44.196
228,42.72,0.0
229,42.78,11.051
230,42.93,27.561
231,43.4,34.656
232,44.0,24.478
233,43.13,18.538
234,43.53,2.343
235,43.03,45.932
236,43.95,22.544
237,44.5,58.177
239,44.16,6.522
240,42.54,16.833
241,37.42,10.401
242,39.69,0.0
243,40.78,11.496
244,41.9,0.0
246,42.72,15.419
247,42.69,28.345
248,42.24,38.634
249,42.74,11.836
250,42.59,39.769
251,42.31,16.363
252,42.99,56.674
253,42.9,44.681
254,42.74,20.805
255,43.23,61.112
256,42.73,44.125
257,42.21,46.788
258,42.07,22.363
259,41.85,26.708
260,41.33,31.09
261,41.82,24.607
262,41.84,21.041
263,41.48,40.723
264,42.1,42.383
265,42.14,22.94
266,41.64,20.361
267,41.76,11.999
268,42.63,38.166
269,42.87,35.81
