PRO_COM,SEZ21,SEZ21_ID,P1,P14,P29,LST_2019,LST_2020,LST_2021,LST_2022,LST_2023,LST_2024,LST_2025,lst_trend
82053,1,820530000001,0,0,0,41.35,42.1,40.07,43.16,41.99,42.57,42.24,0.8900000000000006
82053,4,820530000004,42,1,5,41.0,41.91,39.91,42.86,41.58,42.25,42.49,1.490000000000002
82053,5,820530000005,41,2,3,40.49,41.26,39.5,42.45,41.09,41.85,42.01,1.519999999999996
82053,6,820530000006,50,0,4,40.9,41.7,39.69,42.59,41.5,42.08,42.45,1.5500000000000043
82053,7,820530000007,27,0,0,41.03,42.15,39.99,42.93,41.75,42.33,42.66,1.6299999999999955
82053,8,820530000008,111,3,9,41.53,42.74,40.41,43.62,42.38,42.91,42.88,1.3500000000000014
82053,9,820530000009,83,4,4,41.46,42.69,40.52,43.49,42.23,42.87,43.02,1.5600000000000023
82053,10,820530000010,19,0,4,41.27,42.38,40.24,43.19,42.01,42.68,42.91,1.6399999999999935
82053,11,820530000011,31,1,2,41.16,42.35,40.19,43.25,42.14,42.6,42.89,1.730000000000004
82053,12,820530000012,52,3,1,41.33,42.47,40.47,43.42,42.39,42.66,42.78,1.4500000000000028
82053,13,820530000013,238,24,12,41.45,42.65,40.49,43.49,42.48,42.82,42.77,1.3200000000000003
82053,14,820530000014,63,1,2,41.23,42.28,40.49,43.29,42.58,42.64,42.79,1.5600000000000023
82053,15,820530000015,27,2,0,41.37,42.46,40.61,43.36,42.57,42.76,42.81,1.4400000000000048
82053,16,820530000016,48,7,3,41.34,42.46,40.61,43.37,42.5,42.68,42.79,1.4499999999999957
82053,17,820530000017,75,6,4,41.53,42.61,40.83,43.57,42.8,42.83,43.07,1.5399999999999991
82053,18,820530000018,25,2,2,41.15,42.15,40.48,43.18,42.42,42.44,42.83,1.6799999999999997
82053,19,820530000019,16,3,1,41.49,42.59,40.79,43.42,42.64,42.68,42.99,1.5
82053,20,820530000020,107,6,4,41.22,41.99,40.52,43.14,42.17,42.44,42.75,1.5300000000000011
82053,21,820530000021,10,1,1,41.51,42.46,40.81,43.46,42.57,42.66,43.13,1.6200000000000045
82053,22,820530000022,86,2,2,41.41,42.34,41.0,43.41,42.38,42.56,43.04,1.6300000000000026
82053,23,820530000023,85,11,3,40.86,41.6,40.11,42.79,41.75,42.1,42.26,1.3999999999999986
82053,24,820530000024,36,0,1,40.88,41.7,40.18,42.83,41.7,42.0,42.33,1.4499999999999957
82053,25,820530000025,48,1,1,41.12,42.02,40.6,43.16,42.02,42.23,42.65,1.5300000000000011
82053,26,820530000026,48,4,0,41.16,42.15,40.68,43.3,42.08,42.38,42.76,1.6000000000000014
82053,27,820530000027,56,6,0,41.11,42.02,40.84,43.23,41.99,42.28,42.7,1.5900000000000034
82053,28,820530000028,10,0,0,41.44,42.17,41.6,43.47,42.22,42.67,42.99,1.5500000000000043
82053,29,820530000029,84,5,1,40.96,41.77,40.72,43.09,41.71,42.13,42.53,1.5700000000000003
82053,30,820530000030,70,2,4,40.57,41.44,40.09,42.66,41.3,41.76,42.16,1.5899999999999963
82053,31,820530000031,20,4,0,40.43,40.99,40.01,42.36,40.93,41.44,42.09,1.6600000000000037
82053,32,820530000032,61,6,0,40.58,41.22,40.28,42.73,41.17,41.68,42.23,1.6499999999999986
82053,33,820530000033,32,0,2,40.85,41.45,40.74,42.91,41.51,41.96,42.42,1.5700000000000003
82053,34,820530000034,93,5,12,41.6,42.22,41.35,43.51,42.14,42.79,42.93,1.3299999999999983
82053,35,820530000035,58,3,2,41.85,42.47,42.46,43.59,42.26,42.97,43.04,1.1899999999999977
82053,36,820530000036,1,0,0,41.2,41.96,41.57,43.02,41.89,42.14,42.55,1.3499999999999943
82053,37,820530000037,51,2,6,40.62,41.29,40.57,42.43,41.24,41.56,42.13,1.5100000000000051
82053,38,820530000038,168,5,17,40.8,41.53,40.96,42.79,41.5,41.99,42.32,1.5200000000000031
82053,39,820530000039,64,1,5,40.24,41.26,39.96,42.58,41.22,41.58,41.98,1.7399999999999949
82053,40,820530000040,4,0,0,40.01,40.98,39.61,42.08,40.72,41.26,41.73,1.7199999999999989
82053,41,820530000041,18,0,1,40.05,40.97,39.58,42.29,40.96,41.59,41.96,1.9100000000000037
82053,42,820530000042,66,5,2,40.11,41.12,39.61,42.33,40.96,41.6,41.95,1.8400000000000034
82053,43,820530000043,65,2,3,40.35,41.2,39.69,42.5,41.23,41.7,42.06,1.7100000000000009
82053,44,820530000044,153,12,3,40.71,41.72,40.19,42.83,41.64,42.0,42.37,1.6599999999999966
82053,45,820530000045,47,2,2,41.27,42.14,40.5,43.17,42.05,42.5,42.82,1.5499999999999972
82053,46,820530000046,9,0,0,41.32,42.5,40.55,43.45,42.27,42.7,42.94,1.6199999999999974
82053,47,820530000047,90,6,2,41.48,42.5,40.51,43.5,42.34,42.92,43.07,1.5900000000000034
82053,48,820530000048,53,4,5,40.73,41.6,39.93,43.0,41.74,42.28,42.52,1.7900000000000063
82053,49,820530000049,103,4,7,40.92,41.61,40.16,43.11,42.09,42.61,42.82,1.8999999999999986
82053,50,820530000050,40,3,3,41.13,41.78,40.19,43.0,41.99,42.47,42.79,1.6599999999999966
82053,51,820530000051,81,4,1,41.67,42.65,40.5,43.22,42.26,42.9,43.24,1.5700000000000003
82053,52,820530000052,5,0,0,41.76,42.96,40.54,43.38,42.38,43.11,43.42,1.6600000000000037
82053,53,820530000053,109,7,12,41.21,42.27,40.25,43.12,42.1,42.51,42.86,1.6499999999999986
82053,54,820530000054,23,0,3,41.34,42.45,40.18,43.11,42.0,42.75,42.99,1.6499999999999986
82053,55,820530000055,105,9,4,41.54,42.48,40.48,43.24,42.12,42.85,43.04,1.5
82053,56,820530000056,28,0,3,41.55,42.49,40.29,43.23,42.25,42.82,43.05,1.5
82053,57,820530000057,5,0,0,41.18,42.27,40.07,42.9,41.81,42.46,42.65,1.4699999999999989
82053,58,820530000058,49,0,2,40.89,41.82,39.66,42.66,41.58,42.12,42.47,1.5799999999999983
